sample	type	index	index2	index3
BC07_95	SC	nonTumor	Immune	Myeloid
BC07_Pooled	Bulk	nonTumor	Immune	Immune
BC07LN_02	SC	Tumor	Tumor	Tumor
BC07LN_03	SC	nonTumor	Immune	Bcell
BC07LN_04	SC	nonTumor	Immune	Bcell
BC07LN_05	SC	nonTumor	Immune	Bcell
BC07LN_06	SC	Tumor	Tumor	Tumor
BC07LN_10	SC	nonTumor	Stromal	Stromal
BC07LN_13	SC	Tumor	Tumor	Tumor
BC07LN_15	SC	Tumor	Tumor	Tumor
BC07LN_16	SC	nonTumor	Immune	Bcell
BC07LN_18	SC	nonTumor	Immune	Bcell
BC07LN_19	SC	nonTumor	Immune	Bcell
BC07LN_22	SC	nonTumor	Immune	Bcell
BC07LN_23	SC	Tumor	Tumor	Tumor
BC07LN_26	SC	Tumor	Tumor	Tumor
BC07LN_27	SC	nonTumor	Immune	Bcell
BC07LN_29	SC	Tumor	Tumor	Tumor
BC07LN_30	SC	Tumor	Tumor	Tumor
BC07LN_31	SC	Tumor	Tumor	Tumor
BC07LN_34	SC	Tumor	Tumor	Tumor
BC07LN_35	SC	Tumor	Tumor	Tumor
BC07LN_36	SC	Tumor	Tumor	Tumor
BC07LN_40	SC	Tumor	Tumor	Tumor
BC07LN_41	SC	Tumor	Tumor	Tumor
BC07LN_42	SC	Tumor	Tumor	Tumor
BC07LN_49	SC	nonTumor	Immune	Bcell
BC07LN_50	SC	nonTumor	Immune	Bcell
BC07LN_51	SC	Tumor	Tumor	Tumor
BC07LN_52	SC	Tumor	Tumor	Tumor
BC07LN_53	SC	nonTumor	Immune	Bcell
BC07LN_54	SC	nonTumor	Immune	Tcell
BC07LN_57	SC	Tumor	Tumor	Tumor
BC07LN_59	SC	nonTumor	Immune	Bcell
BC07LN_60	SC	Tumor	Tumor	Tumor
BC07LN_62	SC	nonTumor	Immune	Bcell
BC07LN_64	SC	nonTumor	Immune	Bcell
BC07LN_67	SC	nonTumor	Immune	Bcell
BC07LN_68	SC	nonTumor	Immune	Bcell
BC07LN_71	SC	nonTumor	Immune	Bcell
BC07LN_73	SC	Tumor	Tumor	Tumor
BC07LN_75	SC	Tumor	Tumor	Tumor
BC07LN_79	SC	Tumor	Tumor	Tumor
BC07LN_81	SC	nonTumor	Immune	Bcell
BC07LN_82	SC	Tumor	Tumor	Tumor
BC07LN_83	SC	nonTumor	Immune	Bcell
