sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5102540	NextSeq 500	Smart-seq2	233200224	NextSeq 500	PAIRED	Pt0
SRR5102541	NextSeq 500	Smart-seq2	214557424	NextSeq 500	PAIRED	Pt0
SRR5102542	NextSeq 500	Smart-seq2	118423960	NextSeq 500	PAIRED	Pt0
SRR5102543	NextSeq 500	Smart-seq2	202296040	NextSeq 500	PAIRED	Pt0
SRR5102544	NextSeq 500	Smart-seq2	131697512	NextSeq 500	PAIRED	Pt0
SRR5102545	NextSeq 500	Smart-seq2	119924960	NextSeq 500	PAIRED	Pt0
SRR5102546	NextSeq 500	Smart-seq2	100927924	NextSeq 500	PAIRED	Pt0
SRR5102547	NextSeq 500	Smart-seq2	101528476	NextSeq 500	PAIRED	Pt0
SRR5102548	NextSeq 500	Smart-seq2	35472696	NextSeq 500	PAIRED	Pt0
SRR5102549	NextSeq 500	Smart-seq2	51765804	NextSeq 500	PAIRED	Pt0
